symbol,date,price
Commerce,Jun 2015,2450
Commerce,Jul 2015,3100
Commerce,Aug 2015,1400
Commerce,Sep 2015,800
Commerce,Oct 2015,700
Developer,Jan 2015,10500
Developer,Feb 2015,11450
Developer,Mar 2015,10500
Developer,Apr 2015,6250
Developer,May 2015,7950
Developer,Jun 2015,30700
Developer,Jul 2015,29400
Developer,Aug 2015,21180
Developer,Sep 2015,40950
Developer,Oct 2015,4550
Large,Jan 2015,9350
Large,Feb 2015,7800
Large,Mar 2015,7275
Large,Apr 2015,5800
Large,May 2015,9750
Large,Jun 2015,29200
Large,Jul 2015,32460
Large,Aug 2015,36573.11
Large,Sep 2015,48208
Large,Oct 2015,2000
Lobbyist,Jan 2015,100
Lobbyist,Apr 2015,500
Lobbyist,May 2015,725
Lobbyist,Jun 2015,1251
Lobbyist,Jul 2015,1100
Lobbyist,Aug 2015,425
Lobbyist,Sep 2015,550
Small,Jan 2015,2895
Small,Feb 2015,4170
Small,Mar 2015,1535
Small,Apr 2015,2000
Small,May 2015,1875
Small,Jun 2015,7582
Small,Jul 2015,7433
Small,Aug 2015,12550
Small,Sep 2015,24463.99
Small,Oct 2015,1700